stimID,stimType,prime,target,prime_cond,target_cond,prime_lex,target_lex,prime_corrAns,target_corrAns,prime_audio,target_audio,thisN,thisTrialN,thisRepN,primeKey.keys,primeKey.corr,primeKey.rt,primeKey.duration,targetKey.keys,targetKey.corr,targetKey.rt,targetKey.duration,prime_freq,target_freq,lsa,breakKey.keys,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcomeKey.started,welcome.stopped,welcomeKey.keys,welcomeKey.rt,welcomeKey.duration,fix.started,fix_rand.started,fix_rand.stopped,fix.stopped,primeStim.started,primeAudio.started,primeText.started,primeKey.started,primeStim.stopped,practice.primeKey.keys,practice.primeKey.corr,practice.primeKey.rt,practice.primeKey.duration,feedback.started,feedbackText.started,feedback.stopped,targetStim.started,targetAudio.started,targetText.started,targetKey.started,targetStim.stopped,practice.targetKey.keys,practice.targetKey.corr,practice.targetKey.rt,practice.targetKey.duration,feedbackText.stopped,start.started,startKey.started,start.stopped,startKey.keys,startKey.rt,startKey.duration,primeAudio.stopped,trials.primeKey.keys,trials.primeKey.corr,trials.primeKey.rt,trials.primeKey.duration,trials.targetKey.keys,trials.targetKey.corr,trials.targetKey.rt,trials.targetKey.duration,pause.started,pause.stopped,trials.breakKey.keys,targetAudio.stopped,participant,list_no,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09071750000293832,0.12532869999995455,0.8245087999966927,space,0.6443962000048487,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6578,1,2025-04-09_12h07.21.342,ldt-dutch,2024.2.4,60.19842605615604,2025-04-09 12h07.25.611404 +0200,
b,practice,beer,demel,practice,practice,w,nw,j,f,beer.wav,demel.wav,0,0,0,j,1,0.6497508000029484,None,f,1,0.8974579999921843,None,,,,,0,0,0,1,,,,,0.8415473000059137,,,,,,,,2.6095335999998497,2.6251136000064434,3.158699699997669,3.143124700000044,1.4337086000014096,1.4417901666640924,1.442742700004601,1.442742700004601,2.0940548999933526,j,1,0.6497508000029484,None,4.077227400004631,4.091819299996132,4.5773364000051515,3.150632599994424,3.158531566663684,3.158699699997669,3.158699699997669,4.060111200000392,f,1,0.8974579999921843,None,,,,,,,,,,,,,,,,,,,,,6578,1,2025-04-09_12h07.21.342,ldt-dutch,2024.2.4,60.19842605615604,2025-04-09 12h07.25.611404 +0200,
a,practice,pippen,kaas,practice,practice,nw,w,f,j,pippen.wav,kaas.wav,1,1,0,j,0,1.300279999995837,None,j,1,0.8962694999936502,None,,,,,0,1,1,0,,,,,4.592736299993703,,,,,,,,7.260880200003157,7.2757726999989245,7.959227300001658,7.943608600005973,5.4515165000048,5.458878566660375,5.458771100005833,5.458771100005833,6.768863299992518,j,0,1.300279999995837,None,8.87830130000657,8.892424100005883,9.377207800003816,7.951459100004286,7.958940966669858,7.959227300001658,7.959227300001658,8.861189499992179,j,1,0.8962694999936502,None,9.392024899992975,,,,,,,,,,,,,,,,,,,,6578,1,2025-04-09_12h07.21.342,ldt-dutch,2024.2.4,60.19842605615604,2025-04-09 12h07.25.611404 +0200,
c,practice,schulling,mand,practice,practice,nw,w,f,j,schulling.wav,mand.wav,2,2,0,f,1,0.9675978000013856,None,j,1,0.8791463000088697,None,,,,,0,2,2,2,,,,,9.392024899992975,,,,,,,,11.361519099998986,11.375493900006404,12.226790600005188,12.210811099997954,9.851525999998557,9.858864466663606,9.860354200005531,9.860354200005531,10.831509800002095,f,1,0.9675978000013856,None,13.12748090000241,13.141854400004377,13.627195399996708,12.216413500005729,12.22606036666936,12.226790600005188,12.226790600005188,13.110750399995595,j,1,0.8791463000088697,None,13.642513200000394,,,,,,,,,,,,,,,,,,,,6578,1,2025-04-09_12h07.21.342,ldt-dutch,2024.2.4,60.19842605615604,2025-04-09 12h07.25.611404 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.627257300002384,13.642513200000394,14.427749599999515,space,0.7737846999953035,None,,,,,,,,,,,,,,6578,1,2025-04-09_12h07.21.342,ldt-dutch,2024.2.4,60.19842605615604,2025-04-09 12h07.25.611404 +0200,
86,filler,systeem,moeite,filler,filler,w,w,j,j,systeem.wav,moeite.wav,0,0,0,j,1,0.7456229999952484,None,j,1,0.6199213999934727,None,3.0611,3.3389,None,None,,,,,0,0,0,85,14.542064399996889,,,,,,,,15.777621200002613,15.792374399999972,16.709811399996397,16.694206300002406,15.018035999994026,15.026185766666702,15.025918200000888,15.025918200000888,15.77756319999753,,,,,,,,16.701233600004343,16.709375966664325,16.709811399996397,16.709811399996397,17.35134009999456,,,,,,,,,,,,15.725785500006168,j,1,0.7456229999952484,None,j,1,0.6199213999934727,None,17.367494799997075,17.367513999997755,None,,6578,1,2025-04-09_12h07.21.342,ldt-dutch,2024.2.4,60.19842605615604,2025-04-09 12h07.25.611404 +0200,
200,filler,matras,ripge,s_ph,pw,w,nw,j,f,matras.wav,ripge.wav,1,1,0,j,1,0.7574643000116339,None,f,1,0.7192668000061531,None,2.2529,None,None,None,,,,,0,1,1,199,17.375325799992424,,,,,,,,18.47754089999944,18.49396789999446,19.29377360000217,19.276930299995,17.68403039999248,17.692459866670347,17.69233859999804,17.69233859999804,18.46058460000495,,,,,,,,19.283716499994625,19.292236466663113,19.29377360000217,19.29377360000217,20.027175800001714,,,,,,,,,,,,,j,1,0.7574643000116339,None,f,1,0.7192668000061531,None,20.037565099992207,20.037580399992294,None,,6578,1,2025-04-09_12h07.21.342,ldt-dutch,2024.2.4,60.19842605615604,2025-04-09 12h07.25.611404 +0200,
177,filler,hobbels,dest,s_pl,pw,w,nw,j,f,hobbels.wav,dest.wav,2,2,0,j,1,0.6280651000124635,None,f,1,0.7401405000127852,None,1.2304,None,None,None,,,,,0,2,2,176,20.042331499993452,,,,,,,,21.537625400000252,21.54275900000357,22.142625299995416,22.127384299994446,20.87846150000405,20.886458966666638,20.892460899995058,20.892460899995058,21.52753199999279,,,,,,,,22.133665300003486,22.14267576666704,22.142625299995416,22.142625299995416,22.894167699996615,,,,,,,,,,,,,j,1,0.6280651000124635,None,f,1,0.7401405000127852,None,22.89420359999349,22.894214200001443,None,22.892659899996943,6578,1,2025-04-09_12h07.21.342,ldt-dutch,2024.2.4,60.19842605615604,2025-04-09 12h07.25.611404 +0200,
166,filler,verhaal,vaast,filler,pw,w,nw,j,f,verhaal.wav,vaast.wav,3,3,0,j,1,0.6394513999985065,None,f,1,0.7729838000086602,None,3.5794,None,None,None,,,,,0,3,3,165,22.909666199993808,,,,,,,,24.387705799992546,24.392805399998906,24.860856100000092,24.844200999999885,23.71792799999821,23.726587966670436,23.72592860000441,23.72592860000441,24.37736909999512,,,,,,,,24.851277599998866,24.85925546667228,24.860856100000092,24.860856100000092,25.644496699998854,,,,,,,,,,,,,j,1,0.6394513999985065,None,f,1,0.7729838000086602,None,25.64453499999945,25.64454619999742,None,25.643013699998846,6578,1,2025-04-09_12h07.21.342,ldt-dutch,2024.2.4,60.19842605615604,2025-04-09 12h07.25.611404 +0200,
73,filler,keizer,aandacht,filler,filler,w,w,j,j,keizer.wav,aandacht.wav,4,4,0,j,1,0.6351340999972308,None,j,1,0.890244399997755,None,2.3945,3.2681,None,None,,,,,0,4,4,72,25.65933270000096,,,,,,,,27.297819700004766,27.309766899998067,27.792940300001646,27.777432300004875,26.618557800000417,26.62650756666359,26.626190099996165,26.626190099996165,27.278155099993455,,,,,,,,27.78464620000159,27.79269796667019,27.792940300001646,27.792940300001646,28.694428699993296,,,,,,,,,,,,,j,1,0.6351340999972308,None,j,1,0.890244399997755,None,28.694474499992793,28.694488099994487,None,28.49263749999227,6578,1,2025-04-09_12h07.21.342,ldt-dutch,2024.2.4,60.19842605615604,2025-04-09 12h07.25.611404 +0200,
